	first_seq	num_seqs	last_seq	sept_to_nov_freq
Australia	2020-09-19	6	2020-11-02	0.0
Austria		0		0.0
Belgium	2020-07-02	410	2020-11-30	0.19
Czech Republic	2020-10-06	7	2020-11-18	0.04
Denmark	2020-08-10	551	2020-11-30	0.02
England	2020-08-03	633	2020-11-30	0.01
France	2020-08-18	11	2020-09-19	0.01
Germany	2020-08-10	66	2020-11-30	0.06
Hong Kong		0		0.0
Iceland	2020-09-17	13	2020-11-07	0.0
Ireland	2020-09-09	1	2020-09-09	0.0
Italy	2020-08-26	5	2020-11-24	0.0
Lithuania		0		0.0
Luxembourg	2020-10-02	412	2020-11-30	0.21
Netherlands	2020-07-20	477	2020-11-30	0.16
New Zealand	2020-10-22	4	2020-10-30	0.02
Northern Ireland	2020-08-13	2	2020-10-02	0.0
Norway	2020-09-28	20	2020-11-27	0.02
Portugal	2020-11-09	19	2020-11-23	0.04
Scotland	2020-08-15	18	2020-10-29	0.0
Singapore		0		0.0
Spain	2020-08-06	10	2020-11-10	0.0
Sweden	2020-09-17	9	2020-11-16	0.02
Switzerland	2020-08-16	67	2020-11-30	0.02
USA	2020-10-22	1	2020-10-22	0.0
United Kingdom	2020-08-03	664	2020-11-30	0.0
Wales	2020-08-10	11	2020-09-20	0.0
